index	fx	cinefile	fps	v	date	
2	0.0168	/Volumes/Stephane/Vortex_Turbulence/2016_09_23/PIV_sv_box_X100mm_fps5000_lens200mm_macro_piston12mm_v100mms_A0mm_f5Hz_delay8000im_1.cine	5000.0	100.0	2016_09_23	
3	0.0168	/Volumes/Stephane/Vortex_Turbulence/2016_09_23/PIV_sv_box_X100mm_fps2500_lens200mm_macro_piston12mm_v50mms_A0mm_f5Hz_delay6500im_1.cine	2500.0	50.0	2016_09_23	
27	0.0168	/Volumes/Stephane/Vortex_Turbulence/2016_09_23/PIV_sv_box_X100mm_fps12000_lens200mm_macro_piston12mm_v350mms_A0mm_f5Hz_delay4500im_1.cine	12000.0	350.0	2016_09_23	
1	0.0168	/Volumes/Stephane/Vortex_Turbulence/2016_09_23/PIV_sv_box_X100mm_fps10000_lens200mm_macro_piston12mm_v300mms_A0mm_f5Hz_delay4300im_1.cine	10000.0	300.0	2016_09_23	
25	0.0168	/Volumes/Stephane/Vortex_Turbulence/2016_09_23/PIV_sv_box_X100mm_fps8000_lens200mm_macro_piston12mm_v150mms_A0mm_f5Hz_delay7800im_1.cine	8000.0	150.0	2016_09_23	
0	0.0168	/Volumes/Stephane/Vortex_Turbulence/2016_09_23/PIV_sv_box_X100mm_fps10000_lens200mm_macro_piston12mm_v200mms_A0mm_f5Hz_delay6800im_1.cine	10000.0	200.0	2016_09_23	
24	0.0168	/Volumes/Stephane/Vortex_Turbulence/2016_09_23/PIV_sv_box_X100mm_fps4000_lens200mm_macro_piston12mm_v75mms_A0mm_f5Hz_delay7500im_1.cine	4000.0	75.0	2016_09_23	
26	0.0168	/Volumes/Stephane/Vortex_Turbulence/2016_09_23/PIV_sv_box_X100mm_fps12000_lens200mm_macro_piston12mm_v250mms_A0mm_f5Hz_delay6000im_1.cine	12000.0	250.0	2016_09_23	
48	0.0625	/Volumes/Stephane/Vortex_Turbulence/2016_08_03/PIV_sv_box_X80mm_fps6000_lens105mm_macro_tube_piston12mm_v200mms_A0mm_f5Hz_2.cine	6000.0	200.0	2016_08_03	
29	0.0625	/Volumes/Stephane/Vortex_Turbulence/2016_08_03/PIV_sv_box_X0mm_fps6000_lens105mm_macro_tube_piston12mm_v125mms_A0mm_f5Hz_3.cine	6000.0	125.0	2016_08_03	
47	0.0625	/Volumes/Stephane/Vortex_Turbulence/2016_08_03/PIV_sv_box_X80mm_fps6000_lens105mm_macro_tube_piston12mm_v200mms_A0mm_f5Hz_1.cine	6000.0	200.0	2016_08_03	
27	0.0625	/Volumes/Stephane/Vortex_Turbulence/2016_08_03/PIV_sv_box_X0mm_fps6000_lens105mm_macro_tube_piston12mm_v125mms_A0mm_f5Hz_1.cine	6000.0	125.0	2016_08_03	
14	0.0625	/Volumes/Stephane/Vortex_Turbulence/2016_08_03/PIV_sv_box_X0mm_fps6000_lens105mm_macro_tube_piston12mm_v200mms_A0mm_f5Hz_1.cine	6000.0	200.0	2016_08_03	
