fx	date		index	fps	v	
Core size measure
0.0168	2016_09_23	2	5000.0	100.0	
0.0168	2016_09_23	3	2500.0	50.0	
0.0168	2016_09_23	27	12000.0	350.0	
0.0168	2016_09_23	1	10000.0	300.0	
0.0168	2016_09_23	25	8000.0	150.0	
0.0168	2016_09_23	0	10000.0	200.0	
0.0168	2016_09_23	24	4000.0	75.0	
0.0168	2016_09_23	26	12000.0	250.0

Intermediate
0.0385	2016_08_19	0	1400.0	200.0	
0.0385	2016_08_19	8	1000.0	50.0	
0.0385	2016_08_19	4	1400.0	100.0	
0.0385	2016_08_19	3	1400.0	150.0	
0.0385	2016_08_19	6	1400.0	75.0	
0.0412	2016_09_20	14	1500.0	50.0	
0.0412	2016_09_20	15	2000.0	200.0	
0.0412	2016_09_20	16	3000.0	300.0	
0.0412	2016_09_20	13	1500.0	100.0	

Circulation	
0.0625	2016_08_03	48	6000.0	200.0	
0.0625	2016_08_03	29	6000.0	125.0	
0.0625	2016_08_03	47	6000.0	200.0	
0.0625	2016_08_03	27	6000.0	125.0	
0.0625	2016_08_03	14	6000.0	200.0	
0.0625	2016_08_03	15	6000.0	200.0	
0.0625	2016_08_03	16	6000.0	200.0	
0.0625	2016_08_03	28	6000.0	125.0	
0.0625	2016_08_03	49	6000.0	200.0	
0.098	2016_08_18	1	4000.0	400.0	
0.098	2016_08_18	4	2000.0	150.0	
0.098	2016_08_18	7	500.0	50.0	
0.098	2016_08_18	3	2000.0	200.0	
0.098	2016_08_18	0	2000.0	300.0	
0.098	2016_08_18	5	1000.0	100.0	
0.098	2016_08_18	2	4000.0	500.0	
0.098	2016_08_18	6	700.0	75.0	
0.098	2016_08_19	5	1400.0	100.0	
0.098	2016_08_19	2	1400.0	150.0	
0.098	2016_08_19	7	1400.0	75.0	
0.098	2016_08_19	1	1400.0	200.0	
0.098	2016_08_19	9	1400.0	50.0

Statistic (large field of view)	
0.112	2016_11_12	17	3000.0	150.0	
0.112	2016_11_12	11	3000.0	150.0	
0.112	2016_11_12	24	5000.0	250.0	
0.112	2016_11_12	23	3000.0	150.0	
0.112	2016_11_12	36	5000.0	250.0	
0.112	2016_11_12	21	5000.0	250.0	
0.112	2016_11_12	29	3000.0	150.0	
0.112	2016_11_12	30	5000.0	250.0	
0.112	2016_11_12	12	5000.0	250.0	
0.112	2016_11_12	15	5000.0	250.0	
0.112	2016_11_12	14	3000.0	150.0	
0.112	2016_11_12	33	5000.0	250.0	
0.112	2016_11_12	39	5000.0	250.0	
0.112	2016_11_12	32	3000.0	150.0	
0.112	2016_11_12	27	5000.0	250.0	
0.112	2016_11_12	20	3000.0	150.0	
0.112	2016_11_12	35	3000.0	150.0	
0.112	2016_11_12	26	3000.0	150.0	
0.112	2016_11_12	38	3000.0	150.0	
0.112	2016_11_12	18	5000.0	250.0	
